Llave,Llave2,Nombre_linea,Fecha_aprobacion,Antiguedad_meses,Nombre_fondo,Valor_financiacion,Cuotas,Tipo_interes,Cuotas_vencidas,Cuotas_por_vencer,Y_continua,Y_categorica
100046415_202110,100046415_202110_13110,ESTUDIA YA-TECH GLOBAL,2021-02-12,56,BOGOTA,1895042,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100094861_202131,100094861_202131_13118,ESTUDIA YA-TECH GLOBAL,2021-02-15,56,CONVENIO SENA NACIONAL,1312400,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100090085_202141,100090085_202141_13292,ESTUDIA YA-TECH GLOBAL LINEA BLANCA,2021-02-05,56,CONVENIO INESUR,2589525,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100082960_202131,100082960_202131_13165,ESTUDIA YA-TECH GLOBAL,2021-02-25,56,CONVENIO CONSTRUYENDO FUTURO - CONSFUTUR S.A.S,1307300,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100083999_202110,100083999_202110_13175,ESTUDIA YA-TECH GLOBAL,2021-02-15,56,BOGOTA,2186720,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100039484_202151,100039484_202151_13183,ESTUDIA YA-TECH GLOBAL,2021-02-15,56,BOGOTA,2906250,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100095400_202131,100095400_202131_13154,ESTUDIA YA-TECH GLOBAL,2021-02-15,56,BOGOTA,1147457,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100074911_202141,100074911_202141_13275,ESTUDIA YA-TECH GLOBAL,2021-02-15,56,BOGOTA,1242300,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100077506_202151,100077506_202151_13347,ESTUDIA YA-TECH GLOBAL,2021-02-05,56,CONVENIO FUNDACIÓN YANAPAX,3245960,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100070822_202151,100070822_202151_13369,ESTUDIA YA-TECH GLOBAL LINEA BLANCA,2021-02-05,56,CONVENIO FUNDACIÓN YANAPAX,3476500,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100063110_202131,100063110_202131_13341,ESTUDIA YA-TECH GLOBAL,2021-02-05,56,CONVENIO MIRYAN VIVAS,1060800,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100035686_202142,100035686_202142_13528,ESTUDIA YA-TECH GLOBAL,2021-03-15,55,BOGOTA,1242955,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100078295_202151,100078295_202151_13549,ESTUDIA YA-TECH GLOBAL LINEA BLANCA,2021-03-05,56,CONVENIO FUNDACIÓN YANAPAX,3246960,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100088952_202142,100088952_202142_13599,ESTUDIA YA-TECH GLOBAL,2021-03-30,55,BOGOTA,1742500,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100096452_202132,100096452_202132_13482,ESTUDIA YA-TECH GLOBAL,2021-03-05,56,BOGOTA,1476450,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100089472_202132,100089472_202132_13652,ESTUDIA YA-TECH GLOBAL,2021-04-05,55,BOGOTA,1312400,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100090946_202142,100090946_202142_13665,ESTUDIA YA-TECH GLOBAL,2021-04-05,55,BOGOTA,3346960,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100098207_202120,100098207_202120_13760,ESTUDIA YA-TECH GLOBAL,2021-04-05,55,BOGOTA,1469650,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100063687_202112,100063687_202112_13791,ESTUDIA YA-TECH GLOBAL,2021-04-20,54,CEI BUCARAMANGA,849877,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100098032_202112,100098032_202112_13689,ESTUDIA YA-TECH GLOBAL,2021-04-05,55,CONVENIO SENA BOGOTA,1522308,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100098178_202112,100098178_202112_13821,ESTUDIA YA-TECH GLOBAL,2021-04-15,54,CONVENIO SENA NACIONAL,1522308,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100086794_202112,100086794_202112_13822,ESTUDIA YA-TECH GLOBAL,2021-04-15,54,CONVENIO SENA NACIONAL,1366970,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100097140_202152,100097140_202152_13895,ESTUDIA YA-TECH GLOBAL,2021-04-20,54,BOGOTA,3487635,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100098516_202132,100098516_202132_13905,ESTUDIA YA-TECH GLOBAL,2021-04-20,54,BOGOTA,1470330,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100098665_202132,100098665_202132_13907,ESTUDIA YA-TECH GLOBAL,2021-04-20,54,CONVENIO SENA NACIONAL,1388645,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100062698_202132,100062698_202132_13718,ESTUDIA YA-TECH GLOBAL,2021-04-10,54,CONVENIO INFOTEC -EDUTEC,1148350,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100099345_202113,100099345_202113_14084,ESTUDIA YA-TECH GLOBAL,2021-05-20,53,CONVENIO SENA NACIONAL,1569993,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100092752_202112,100092752_202112_13968,ESTUDIA YA-TECH GLOBAL LINEA BLANCA,2021-04-30,54,BOGOTA,1662345,12,Cap. Fijo-Int. vencido,2,0,0.17,Bajo
100086668_202142,100086668_202142_13970,ESTUDIA YA-TECH GLOBAL,2021-04-29,54,BOGOTA,1742500,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100091095_202133,100091095_202133_14056,ESTUDIA YA-TECH GLOBAL,2021-05-05,54,CONVENIO SENA NACIONAL,1148350,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100067807_202152,100067807_202152_14010,ESTUDIA YA-TECH GLOBAL LINEA BLANCA,2021-05-05,54,CEI BUCARAMANGA,2797800,5,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100098781_202133,100098781_202133_14097,ESTUDIA YA-TECH GLOBAL,2021-05-30,53,BOGOTA,1476450,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100072723_202112,100072723_202112_13984,ESTUDIA YA-TECH GLOBAL,2021-04-30,54,BOGOTA,1469565,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100097857_202113,100097857_202113_14159,ESTUDIA YA-TECH GLOBAL,2021-05-31,53,BOGOTA,1847050,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100095076_202153,100095076_202153_14206,ESTUDIA YA-TECH GLOBAL,2021-06-05,53,CONVENIO FUNDACIÓN YANAPAX,3293878,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100048532_202143,100048532_202143_14120,ESTUDIA YA-TECH GLOBAL,2021-05-25,53,BOGOTA,1242955,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100099039_202143,100099039_202143_14123,ESTUDIA YA-TECH GLOBAL,2021-05-25,53,BOGOTA,2589525,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100101943_202143,100101943_202143_14465,ESTUDIA YA-TECH GLOBAL,2021-06-30,52,BOGOTA,1775650,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100022159_202143,100022159_202143_14541,ESTUDIA YA-TECH GLOBAL,2021-06-30,52,BOGOTA,2350250,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100102083_202106,100102083_202106_14548,ESTUDIA YA-TECH GLOBAL,2021-06-25,52,BOGOTA,2071680,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100102252_202116,100102252_202116_14549,ESTUDIA YA-TECH GLOBAL,2021-06-30,52,CONVENIO SENA NACIONAL,1569993,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100100639_202153,100100639_202153_14405,ESTUDIA YA-TECH GLOBAL,2021-06-05,53,CONVENIO FUNDACIÓN YANAPAX,3293878,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100100728_202133,100100728_202133_14283,ESTUDIA YA-TECH GLOBAL,2021-06-05,53,CONVENIO PROFIN,1388645,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100101065_202113,100101065_202113_14291,ESTUDIA YA-TECH GLOBAL,2021-06-05,53,BOGOTA,1662345,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100056821_202143,100056821_202143_14396,ESTUDIA YA-TECH GLOBAL,2021-06-05,53,BOGOTA,1623500,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100099538_202143,100099538_202143_14263,ESTUDIA YA-TECH GLOBAL,2021-06-05,53,BOGOTA,1775650,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100101334_202113,100101334_202113_14308,ESTUDIA YA-TECH GLOBAL,2021-06-15,52,BOGOTA,1662345,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100101366_202143,100101366_202143_14367,ESTUDIA YA-TECH GLOBAL,2021-06-05,53,BOGOTA,2589525,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100049307_202133,100049307_202133_14378,ESTUDIA YA-TECH GLOBAL,2021-06-30,52,CONVENIO CENTRO DE ESTUDIOS ANDINO,972825,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100074754_202133,100074754_202133_14318,ESTUDIA YA-TECH GLOBAL,2021-06-15,52,CONVENIO PROFIN,1427660,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100048572_202113,100048572_202113_14455,ESTUDIA YA-TECH GLOBAL,2021-06-24,52,CONVENIO CIADET,1326000,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100088876_202120,100088876_202120_14622,ESTUDIA YA-TECH GLOBAL,2021-07-20,51,BOGOTA,2907000,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100099306_202134,100099306_202134_14623,ESTUDIA YA-TECH GLOBAL,2021-07-05,52,CONVENIO SENA BOGOTA,1394425,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100102344_202144,100102344_202144_14588,ESTUDIA YA-TECH GLOBAL,2021-07-05,52,BOGOTA,1420520,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100044182_202120,100044182_202120_14618,ESTUDIA YA-TECH GLOBAL,2021-07-20,51,BOGOTA,2907000,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100103994_202116,100103994_202116_14871,ESTUDIA YA-TECH GLOBAL,2021-07-30,51,BOGOTA,1522308,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100034992_202120,100034992_202120_14916,ESTUDIA YA-TECH GLOBAL,2021-08-15,50,BOGOTA,2907000,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100062819_202134,100062819_202134_14921,ESTUDIA YA-TECH GLOBAL,2021-08-20,50,CONVENIO MIRYAN VIVAS,671520,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100103782_202116,100103782_202116_14893,ESTUDIA YA-TECH GLOBAL,2021-08-05,51,BOGOTA,1522308,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100037422_202154,100037422_202154_15139,ESTUDIA YA-TECH GLOBAL,2021-08-05,51,BOGOTA,2694500,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100055483_202154,100055483_202154_14959,ESTUDIA YA-TECH GLOBAL,2021-08-05,51,BOGOTA,2906363,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100062859_202134,100062859_202134_14962,ESTUDIA YA-TECH GLOBAL,2021-08-05,51,BOGOTA,729540,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100068256_202116,100068256_202116_15047,ESTUDIA YA-TECH GLOBAL,2021-08-15,50,CONVENIO SENA NACIONAL,1010700,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100090263_202144,100090263_202144_15097,ESTUDIA YA-TECH GLOBAL,2021-08-30,50,BOGOTA,2578815,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
900004609_202144,900004609_202144_14981,ESTUDIA YA-TECH GLOBAL,2021-08-05,51,BOGOTA,2014075,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100103610_202116,100103610_202116_15211,ESTUDIA YA-TECH GLOBAL,2021-08-15,50,BOGOTA,1569993,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100091528_202116,100091528_202116_15127,ESTUDIA YA-TECH GLOBAL,2021-08-15,50,CONVENIO SENA NACIONAL,1043040,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100061282_202134,100061282_202134_15149,ESTUDIA YA-TECH GLOBAL,2021-08-20,50,BOGOTA,1385670,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100104240_202116,100104240_202116_15075,ESTUDIA YA-TECH GLOBAL,2021-08-05,51,BOGOTA,1569993,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100050093_202120,100050093_202120_15285,ESTUDIA YA-TECH GLOBAL,2021-08-05,51,BOGOTA,326535,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100105399_202134,100105399_202134_15371,ESTUDIA YA-TECH GLOBAL,2021-08-30,50,CONVENIO SENA NACIONAL,1427660,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100105878_202120,100105878_202120_15671,ESTUDIA YA-TECH GLOBAL,2021-09-20,49,BOGOTA,1941358,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100065701_202120,100065701_202120_15442,ESTUDIA YA-TECH GLOBAL,2021-08-20,50,BOGOTA,3213000,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100105296_202134,100105296_202134_15523,ESTUDIA YA-TECH GLOBAL,2021-08-05,51,CONVENIO CIADET,1511640,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100105553_202154,100105553_202154_15548,ESTUDIA YA-TECH GLOBAL,2021-08-31,50,CONVENIO PROFIN,3293878,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100106440_202116,100106440_202116_15590,ESTUDIA YA-TECH GLOBAL,2021-08-31,50,BOGOTA,1662345,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100042264_202134,100042264_202134_15538,ESTUDIA YA-TECH GLOBAL,2021-08-20,50,CONVENIO CIADET,994033,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100106149_202116,100106149_202116_15554,ESTUDIA YA-TECH GLOBAL,2021-08-25,50,BOGOTA,1569993,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100088923_202116,100088923_202116_15409,ESTUDIA YA-TECH GLOBAL,2021-08-24,50,BOGOTA,1224000,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100107090_202210,100107090_202210_15791,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-09-25,49,CONVENIO SENA NACIONAL,1632680,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100093669_202145,100093669_202145_15860,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-09-28,49,BOGOTA,2877250,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100107614_202117,100107614_202117_15828,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-09-25,49,BOGOTA,1569993,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100069806_202117,100069806_202117_15795,ESTUDIA YA-TECH GLOBAL,2021-09-20,49,BOGOTA,1569993,6,Cap. Fijo-Int. vencido,2,0,0.33,Alto
900008370_202120,900008370_202120_15713,ESTUDIA YA-TECH GLOBAL,2021-09-30,49,BOGOTA,684250,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100091302_202117,100091302_202117_15967,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-10-05,49,CONVENIO SENA NACIONAL,1043040,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100092529_202145,100092529_202145_15902,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-09-30,49,BOGOTA,2577413,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
900010129_202210,900010129_202210_18861,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-02-25,44,BOGOTA,2197642,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100103011_202211,100103011_202211_18262,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-02-05,45,CONVENIO INESUR,1779730,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100118471_202211,100118471_202211_18809,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-02-28,44,BOGOTA,1912840,6,Cap. Fijo-Int. vencido,6,0,1.0,Alto
100085454_202211,100085454_202211_17819,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-02-05,45,BOGOTA,1361360,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100109967_202211,100109967_202211_16533,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-11-20,47,BOGOTA,1385287,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100090626_202210,100090626_202210_16974,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-01-05,46,BOGOTA,1703040,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100112305_202211,100112305_202211_16873,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2021-12-20,46,BOGOTA,1676200,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100072490_202145,100072490_202145_16362,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-10-31,48,BOGOTA,1242955,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100108582_202117,100108582_202117_16196,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-10-25,48,BOGOTA,1569993,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100102289_202231,100102289_202231_17091,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-01-05,46,CONVENIO SENA NACIONAL,1000492,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100106751_202231,100106751_202231_17718,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-01-20,45,CONVENIO SENA BOGOTA,1491962,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100115286_202241,100115286_202241_17749,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-01-20,45,BOGOTA,1749299,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100105778_202211,100105778_202211_16984,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-01-05,46,CONVENIO SENA NACIONAL,1074621,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
